,Name,Year,Location,Coordinates
138,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
139,"""#VanLifeAttila""",2016,"Stanley, British Columbia, Canada","(53.0402309, -121.718755)"
140,"""#VanLifeAttila""",2016,"Quesnel, British Columbia, Canada","(52.9794279, -122.4936273)"
141,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
142,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
143,"""#VanLifeAttila""",2016,"Wendle Lake, British Columbia, Canada","(53.1173414, -121.49901337494916)"
144,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
145,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
146,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
147,"""#VanLifeAttila""",2016,"Quesnel, British Columbia, Canada","(52.9794279, -122.4936273)"
148,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
149,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
150,"""#VanLifeAttila""",2016,"Quesnel, British Columbia, Canada","(52.9794279, -122.4936273)"
151,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
152,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
153,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
154,"""#VanLifeAttila""",2016,Barkerville Highway,"(53.0154665, -122.4950096)"
155,"""#VanLifeAttila""",2016,"Boston Bar, British Columbia, Canada","(49.8681162, -121.4432499)"
156,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
157,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
158,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
159,"""#VanLifeAttila""",2016,"British Columbia, Canada","(55.001251, -125.002441)"
160,"""#VanLifeAttila""",2016,"Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
161,"""#VanLifeAttila""",2016,Barkerville Highway,"(53.0154665, -122.4950096)"
162,"""#VanLifeAttila""",2016,"Toronto, Ontario, Canada","(43.6534817, -79.3839347)"
163,"""#VanLifeAttila""",2016,"Banff, Alberta, Canada","(51.1777781, -115.5682504)"
164,"""#VanLifeAttila""",2016,"Winnipeg, Manitoba, Canada","(49.8955367, -97.1384584)"
165,"""#VanLifeAttila""",2016,"Richmond, British Columbia, Canada","(49.163168, -123.137414)"
166,"""#VitalSignz""",2017,"Toronto, Ontario, Canada","(43.6534817, -79.3839347)"
167,"""#WarGames""",2018,"Glen Head, Long Island, New York, USA","(40.85149705, -73.0994258107431)"
168,"""#WarGames""",2018,"New York City, New York, USA","(40.7127281, -74.0060152)"
169,"""#tlir""",2013,"Petoskey, Michigan, USA","(45.373343, -84.95533)"
170,"""$#*! My Dad Says""",2010,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.1816482, -118.3258554)"
171,"""$#*! My Dad Says""",2010,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.1816482, -118.3258554)"
172,"""$#*! My Dad Says""",2010,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.1816482, -118.3258554)"
173,"""$#*! My Dad Says""",2010,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.1816482, -118.3258554)"
174,"""$#*! My Dad Says""",2010,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.1816482, -118.3258554)"
175,"""$#*! My Dad Says""",2010,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.1816482, -118.3258554)"
176,"""$#*! My Dad Says""",2010,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.1816482, -118.3258554)"
177,"""$#*! My Dad Says""",2010,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.1816482, -118.3258554)"
178,"""$#*! My Dad Says""",2010,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.1816482, -118.3258554)"
179,"""$#*! My Dad Says""",2010,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.1816482, -118.3258554)"
180,"""$#*! My Dad Says""",2010,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.1816482, -118.3258554)"
181,"""$#*! My Dad Says""",2010,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.1816482, -118.3258554)"
182,"""$#*! My Dad Says""",2010,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.1816482, -118.3258554)"
183,"""$#*! My Dad Says""",2010,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.1816482, -118.3258554)"
184,"""$#*! My Dad Says""",2010,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.1816482, -118.3258554)"
185,"""$#*! My Dad Says""",2010,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.1816482, -118.3258554)"
186,"""$#*! My Dad Says""",2010,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.1816482, -118.3258554)"
187,"""$#*! My Dad Says""",2010,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.1816482, -118.3258554)"
188,"""$#*! My Dad Says""",2010,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.1816482, -118.3258554)"
189,"""$1,000,000 Chance of a Lifetime""",1986,"Hollywood Center Studios - 1040 N. Las Palmas Avenue, Hollywood, Los Angeles, California, USA","(34.0980031, -118.329523)"
190,"""$2 Bill""",2002,"Los Angeles, California, USA","(34.0536909, -118.242766)"
191,"""$2 Bill""",2002,"Hollywood Center Studios - 1040 N. Las Palmas Avenue, Hollywood, Los Angeles, California, USA","(34.0980031, -118.329523)"
192,"""$2 Bill""",2002,"San Diego, California, USA","(32.7174202, -117.1627728)"
193,"""$2 Donuts""",2017,"Sydney, Australia","(-33.8548157, 151.2164539)"
194,"""$25 Million Dollar Hoax""",2004,"San Diego, California, USA","(32.7174202, -117.1627728)"
195,"""$5 Cover""",2009,"Memphis, Tennessee, USA","(35.1490215, -90.0516285)"
196,"""$5 Cover""",2009,"Tennessee, USA","(35.7730076, -86.2820081)"
